Day,Hour,Radiation,Temp,Dir,Spd
0,6,0.002881844,0.76109215,180,0.039215686
0,7,0.054755043,0.781569966,170,0.098039216
0,8,0.227665706,0.819112628,180,0.098039216
0,9,0.4870317,0.860068259,180,0.254901961
0,10,0.489913545,0.863481229,,
0,11,0.636887608,0.860068259,280,0.196078431
0,12,0.538904899,0.849829352,,
0,13,0.585014409,0.883959044,270,0.176470588
0,14,0.553314121,0.870307167,180,0.303921569
0,15,0.804034582,0.90443686,220,0.166666667
0,16,0.613832853,0.894197952,220,0.196078431
0,17,0.472622478,0.877133106,260,0.215686275
0,18,0.259365994,0.846416382,230,0.166666667
0,19,0.066282421,0.825938567,230,0.225490196
0,20,0,0.819112628,240,0.205882353
1,6,0.002881844,0.76109215,170,0.12745098
1,7,0.069164265,0.784982935,180,0.176470588
1,8,0.198847262,0.805460751,180,0.176470588
1,9,0.371757925,0.836177474,170,0.254901961
1,10,0.317002882,0.839590444,180,0.205882353
1,11,0.5129683,0.883959044,170,0.235294118
1,12,0.288184438,0.812286689,,
1,13,0.501440922,0.846416382,260,0.166666667
1,14,0.925072046,0.894197952,270,0.235294118
1,15,0.775216138,0.883959044,260,0.254901961
1,16,0.53314121,0.870307167,,
1,17,0.340057637,0.85665529,270,0.225490196
1,18,0.190201729,0.843003413,260,0.235294118
1,19,0.09221902,0.825938567,260,0.264705882
1,20,0,0.815699659,250,0.264705882
2,6,0.002881844,0.791808874,220,0.254901961
2,7,0.051873199,0.802047782,220,0.156862745
2,8,0.089337176,0.802047782,230,0.205882353
2,9,0.276657061,0.819112628,260,0.196078431
2,10,0.556195965,0.866894198,260,0.18627451
2,11,0.634005764,0.85665529,250,0.205882353
2,12,0.536023055,0.866894198,240,0.166666667
2,13,0.720461095,0.880546075,230,0.196078431
2,14,0.757925072,0.901023891,240,0.235294118
2,15,0.798270893,0.894197952,240,0.264705882
2,16,0.665706052,0.897610922,230,0.274509804
2,17,0.403458213,0.860068259,250,0.254901961
2,18,0.175792507,0.846416382,230,0.264705882
2,19,0.037463977,0.829351536,220,0.225490196
2,20,0,0.822525597,220,0.333333333
3,6,0,0.798634812,220,0.205882353
3,7,0.043227666,0.805460751,230,0.147058824
3,8,0.069164265,0.815699659,240,0.176470588
3,9,0.095100865,0.788395904,230,0.274509804
3,10,0.141210375,0.812286689,220,0.343137255
3,11,0.25648415,0.832764505,240,0.352941176
3,12,0.354466859,0.832764505,240,0.37254902
3,13,0.342939481,0.846416382,230,0.392156863
3,14,0.34870317,0.839590444,230,0.431372549
3,15,0.340057637,0.85665529,230,0.431372549
3,16,0.458213256,0.860068259,230,0.303921569
3,17,0.13832853,0.836177474,220,0.254901961
3,18,0.040345821,0.829351536,220,0.235294118
3,19,0.020172911,0.829351536,220,0.284313725
3,20,0,0.829351536,230,0.294117647
4,6,0,0.788395904,210,0.382352941
4,7,0.017291066,0.80887372,210,0.362745098
4,8,0.077809798,0.80887372,220,0.480392157
4,9,0.170028818,0.819112628,220,0.470588235
4,10,0.299711816,0.829351536,220,0.539215686
4,11,0.518731988,0.846416382,230,0.470588235
4,12,0.763688761,0.866894198,230,0.431372549
4,13,0.625360231,0.853242321,250,0.362745098
4,14,0.443804035,0.85665529,230,0.303921569
4,15,0.484149856,0.853242321,230,0.431372549
4,16,0.354466859,0.849829352,230,0.323529412
4,17,0.132564841,0.812286689,220,0.323529412
4,18,0.158501441,0.832764505,230,0.333333333
4,19,0.028818444,0.822525597,220,0.274509804
4,20,0,0.825938567,230,0.31372549
5,6,0,0.791808874,220,0.529411765
5,7,0.008645533,0.798634812,220,0.558823529
5,8,0.043227666,0.767918089,220,0.549019608
