Time,Hour,Radiation,Temp,Dir,Spd,Time
0,6,0.002881844,0.76109215,180,0.039215686,0
0,7,0.054755043,0.781569966,170,0.098039216,0
0,8,0.227665706,0.819112628,180,0.098039216,0
0,9,0.4870317,0.860068259,180,0.254901961,0
0,10,0.489913545,0.863481229,,,0
0,11,0.636887608,0.860068259,280,0.196078431,0
0,12,0.538904899,0.849829352,,,0
0,13,0.585014409,0.883959044,270,0.176470588,0
0,14,0.553314121,0.870307167,180,0.303921569,0
0,15,0.804034582,0.90443686,220,0.166666667,0
0,16,0.613832853,0.894197952,220,0.196078431,0
0,17,0.472622478,0.877133106,260,0.215686275,0
0,18,0.259365994,0.846416382,230,0.166666667,0
0,19,0.066282421,0.825938567,230,0.225490196,0
0,20,0,0.819112628,240,0.205882353,0
1,6,0.002881844,0.76109215,170,0.12745098,1
1,7,0.069164265,0.784982935,180,0.176470588,1
1,8,0.198847262,0.805460751,180,0.176470588,1
1,9,0.371757925,0.836177474,170,0.254901961,1
1,10,0.317002882,0.839590444,180,0.205882353,1
1,11,0.5129683,0.883959044,170,0.235294118,1
1,12,0.288184438,0.812286689,,,1
1,13,0.501440922,0.846416382,260,0.166666667,1
1,14,0.925072046,0.894197952,270,0.235294118,1
1,15,0.775216138,0.883959044,260,0.254901961,1
1,16,0.53314121,0.870307167,,,1
1,17,0.340057637,0.85665529,270,0.225490196,1
1,18,0.190201729,0.843003413,260,0.235294118,1
1,19,0.09221902,0.825938567,260,0.264705882,1
1,20,0,0.815699659,250,0.264705882,1
2,6,0.002881844,0.791808874,220,0.254901961,2
2,7,0.051873199,0.802047782,220,0.156862745,2
2,8,0.089337176,0.802047782,230,0.205882353,2
2,9,0.276657061,0.819112628,260,0.196078431,2
2,10,0.556195965,0.866894198,260,0.18627451,2
2,11,0.634005764,0.85665529,250,0.205882353,2
2,12,0.536023055,0.866894198,240,0.166666667,2
2,13,0.720461095,0.880546075,230,0.196078431,2
2,14,0.757925072,0.901023891,240,0.235294118,2
2,15,0.798270893,0.894197952,240,0.264705882,2
2,16,0.665706052,0.897610922,230,0.274509804,2
2,17,0.403458213,0.860068259,250,0.254901961,2
2,18,0.175792507,0.846416382,230,0.264705882,2
2,19,0.037463977,0.829351536,220,0.225490196,2
2,20,0,0.822525597,220,0.333333333,2
3,6,0,0.798634812,220,0.205882353,3
3,7,0.043227666,0.805460751,230,0.147058824,3
3,8,0.069164265,0.815699659,240,0.176470588,3
3,9,0.095100865,0.788395904,230,0.274509804,3
3,10,0.141210375,0.812286689,220,0.343137255,3
3,11,0.25648415,0.832764505,240,0.352941176,3
3,12,0.354466859,0.832764505,240,0.37254902,3
3,13,0.342939481,0.846416382,230,0.392156863,3
3,14,0.34870317,0.839590444,230,0.431372549,3
3,15,0.340057637,0.85665529,230,0.431372549,3
3,16,0.458213256,0.860068259,230,0.303921569,3
3,17,0.13832853,0.836177474,220,0.254901961,3
3,18,0.040345821,0.829351536,220,0.235294118,3
3,19,0.020172911,0.829351536,220,0.284313725,3
3,20,0,0.829351536,230,0.294117647,3
4,6,0,0.788395904,210,0.382352941,4
4,7,0.017291066,0.80887372,210,0.362745098,4
4,8,0.077809798,0.80887372,220,0.480392157,4
4,9,0.170028818,0.819112628,220,0.470588235,4
4,10,0.299711816,0.829351536,220,0.539215686,4
4,11,0.518731988,0.846416382,230,0.470588235,4
4,12,0.763688761,0.866894198,230,0.431372549,4
4,13,0.625360231,0.853242321,250,0.362745098,4
4,14,0.443804035,0.85665529,230,0.303921569,4
4,15,0.484149856,0.853242321,230,0.431372549,4
4,16,0.354466859,0.849829352,230,0.323529412,4
4,17,0.132564841,0.812286689,220,0.323529412,4
4,18,0.158501441,0.832764505,230,0.333333333,4
4,19,0.028818444,0.822525597,220,0.274509804,4
4,20,0,0.825938567,230,0.31372549,4
5,6,0,0.791808874,220,0.529411765,5
5,7,0.008645533,0.798634812,220,0.558823529,5
5,8,0.043227666,0.767918089,220,0.549019608,5
5,9,0.144092219,0.798634812,240,0.411764706,5
5,10,0.224783862,0.812286689,,,5
5,11,0.694524496,0.843003413,230,0.431372549,5
5,12,0.400576369,0.836177474,230,0.431372549,5
5,13,0.423631124,0.829351536,230,0.392156863,5
5,14,0.42074928,0.832764505,230,0.421568627,5
5,15,0.250720461,0.825938567,220,0.450980392,5
5,16,0.190201729,0.825938567,230,0.441176471,5
5,17,0.126801153,0.819112628,230,0.431372549,5
5,18,0.060518732,0.819112628,230,0.421568627,5
5,19,0.011527378,0.815699659,,,5
5,20,0,0.658703072,,,5
6,6,0,0.682593857,,,6
6,7,0.011527378,0.686006826,,,6
6,8,0.04610951,0.699658703,,,6
6,9,0.095100865,0.692832765,,,6
6,10,0.16426513,0.706484642,270,0.362745098,6
6,11,0.317002882,0.737201365,250,0.480392157,6
6,12,0.345821326,0.740614334,,,6
6,13,0.213256484,0.679180887,240,0.598039216,6
6,14,0.069164265,0.672354949,220,0.656862745,6
6,15,0.040345821,0.655290102,,,6
6,16,0.040345821,0.645051195,,,6
6,17,0.048991354,0.648464164,,,6
6,18,0.011527378,0.648464164,290,0.264705882,6
6,19,0.008645533,0.641638225,290,0.196078431,6
6,20,0,0.645051195,270,0.088235294,6
7,6,0,0.61774744,30,0.039215686,7
7,7,0.023054755,0.631399317,30,0.068627451,7
7,8,0.126801153,0.662116041,120,0,7
7,9,0.155619597,0.655290102,60,0.078431373,7
7,10,0.149855908,0.675767918,70,0.078431373,7
7,11,0.16426513,0.689419795,100,0,7
7,12,0.273775216,0.723549488,110,0.019607843,7
7,13,0.536023055,0.744027304,270,0.18627451,7
7,14,0.536023055,0.764505119,270,0.166666667,7
7,15,0.590778098,0.784982935,280,0.12745098,7
7,16,0.443804035,0.771331058,270,0.18627451,7
7,17,0.172910663,0.747440273,,,7
7,18,0.063400576,0.682593857,170,0.303921569,7
7,19,0.023054755,0.686006826,130,0.039215686,7
7,20,0,0.686006826,170,0.176470588,7
8,6,0,0.696245734,120,0.235294118,8
8,7,0.043227666,0.730375427,140,0.196078431,8
8,8,0.21037464,0.764505119,160,0.264705882,8
8,9,0.42074928,0.788395904,170,0.245098039,8
8,10,0.461095101,0.832764505,170,0.284313725,8
8,11,0.510086455,0.815699659,170,0.401960784,8
8,12,0.648414986,0.846416382,180,0.333333333,8
8,13,0.688760807,0.822525597,170,0.303921569,8
8,14,0.365994236,0.825938567,170,0.31372549,8
8,15,0.42074928,0.819112628,,,8
8,16,0.34870317,0.805460751,170,0.31372549,8
8,17,0.317002882,0.798634812,180,0.284313725,8
8,18,0.141210375,0.788395904,170,0.284313725,8
8,19,0.057636888,0.771331058,170,0.254901961,8
8,20,0,0.76109215,170,0.205882353,8
9,6,0,0.709897611,120,0.068627451,9
9,7,0.051873199,0.750853242,170,0.12745098,9
9,8,0.342939481,0.781569966,170,0.215686275,9
9,9,0.121037464,0.76109215,180,0.254901961,9
9,10,0.109510086,0.764505119,160,0.176470588,9
9,11,0.270893372,0.795221843,170,0.254901961,9
9,12,0.498559078,0.822525597,170,0.333333333,9
9,13,0.538904899,0.819112628,170,0.294117647,9
9,14,0.484149856,0.822525597,170,0.254901961,9
9,15,0.501440922,0.822525597,170,0.254901961,9
9,16,0.556195965,0.843003413,180,0.205882353,9
9,17,0.472622478,0.829351536,170,0.274509804,9
9,18,0.291066282,0.80887372,170,0.264705882,9
9,19,0.07204611,0.764505119,170,0.205882353,9
9,20,0,0.740614334,150,0.156862745,9
10,6,0,0.689419795,130,0.088235294,10
10,7,0.066282421,0.730375427,130,0.058823529,10
10,8,0.172910663,0.750853242,130,0.137254902,10
